City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Weather Desc,Rain/Inches,Snow,Wind Speed
99,Busselton,AU,2020-04-18 21:02:13,-33.65,115.33,63.0,77,100,light rain,{'3h': 2.02},0,24.92
100,Novonukutskiy,RU,2020-04-18 21:02:13,53.7,102.71,28.09,84,89,light snow,0,{'3h': 0.46},10.47
101,Abu Kamal,SY,2020-04-18 21:02:14,34.45,40.92,76.68,29,68,broken clouds,0,0,1.34
102,Richards Bay,ZA,2020-04-18 21:02:14,-28.78,32.04,72.9,77,33,scattered clouds,0,0,8.1
103,Gizo,SB,2020-04-18 20:58:42,-8.1,156.84,82.04,74,52,broken clouds,0,0,3.4
104,Atlantic City,US,2020-04-18 21:01:38,39.36,-74.42,50.0,53,90,overcast clouds,0,0,23.04
105,Shenzhen,CN,2020-04-18 21:02:15,22.55,114.07,75.99,99,40,scattered clouds,0,0,5.14
106,Zhangjiakou,CN,2020-04-18 21:02:15,40.81,114.88,48.9,51,100,light rain,{'3h': 0.22},0,3.89
107,Comodoro Rivadavia,AR,2020-04-18 21:02:15,-45.87,-67.5,73.4,28,40,scattered clouds,0,0,20.8
108,Pombas,CV,2020-04-18 21:02:16,17.15,-25.02,73.4,64,40,scattered clouds,0,0,24.16
109,Hovd,MN,2020-04-18 21:02:16,48.01,91.64,33.98,41,0,clear sky,0,0,2.66
110,Hithadhoo,MV,2020-04-18 20:57:42,-0.6,73.08,83.77,75,99,overcast clouds,0,0,11.65
111,Acapulco,MX,2020-04-18 20:53:04,16.86,-99.89,84.2,74,5,haze,0,0,10.29
112,Lompoc,US,2020-04-18 20:57:34,34.64,-120.46,61.0,63,90,overcast clouds,0,0,12.75
113,Port Hedland,AU,2020-04-18 21:02:17,-20.32,118.57,75.2,100,99,overcast clouds,0,0,6.93
114,Provideniya,RU,2020-04-18 20:58:01,64.38,-173.3,22.05,95,100,light snow,0,{'3h': 0.68},14.54
115,Maridi,SS,2020-04-18 21:02:17,4.92,29.47,69.66,69,90,overcast clouds,0,0,4.41
116,Brigantine,US,2020-04-18 21:02:17,39.41,-74.36,50.0,53,90,overcast clouds,0,0,23.04
117,Onega,RU,2020-04-18 21:02:17,63.91,38.14,31.93,97,92,overcast clouds,0,0,6.8
118,Neiafu,TO,2020-04-18 21:02:18,-18.65,-173.98,78.8,88,75,broken clouds,0,0,8.05
119,Mettur,IN,2020-04-18 21:02:18,11.8,77.8,81.88,55,0,clear sky,0,0,1.79
120,Srednekolymsk,RU,2020-04-18 20:57:43,67.45,153.68,-5.55,90,77,broken clouds,0,0,9.55
121,Norman Wells,CA,2020-04-18 20:53:48,65.28,-126.83,39.2,93,90,light rain,0,0,16.11
122,Abu Samrah,SY,2020-04-18 21:02:19,35.3,37.18,65.62,51,1,clear sky,0,0,3.89
123,Emerald,AU,2020-04-18 21:02:19,-23.53,148.17,71.6,94,75,broken clouds,0,0,4.7
124,Caruray,PH,2020-04-18 21:02:19,10.31,119.01,82.49,75,63,light rain,{'3h': 0.38},0,10.31
125,Talnakh,RU,2020-04-18 21:02:20,69.49,88.4,37.4,74,100,overcast clouds,0,0,35.79
126,Chuy,UY,2020-04-18 20:57:19,-33.7,-53.46,66.63,82,18,few clouds,0,0,7.23
127,Marienburg,PL,2020-04-18 21:02:21,54.04,19.03,35.01,100,0,clear sky,0,0,6.29
128,Monduli,TZ,2020-04-18 21:02:21,-3.3,36.45,64.4,88,75,broken clouds,0,0,1.41
129,Brae,GB,2020-04-18 21:02:21,60.4,-1.35,44.6,86,0,clear sky,0,0,6.93
130,Thompson,CA,2020-04-18 21:02:21,55.74,-97.86,15.8,47,40,scattered clouds,0,0,9.17
131,Marondera,ZW,2020-04-18 21:02:22,-18.19,31.55,58.08,51,16,few clouds,0,0,8.63
132,Izmaylovo,RU,2020-04-18 21:02:22,53.72,47.25,33.94,81,6,clear sky,0,0,7.67
133,Ixtapa,MX,2020-04-18 20:58:39,20.7,-105.2,78.8,69,90,overcast clouds,0,0,14.99
134,Bethel,US,2020-04-18 20:57:20,41.37,-73.41,42.01,80,90,light rain,{'1h': 0.25},0,10.29
135,Medina Del Campo,ES,2020-04-18 21:02:23,41.31,-4.91,54.0,93,93,light rain,{'3h': 0.16},0,6.93
136,Cherskiy,RU,2020-04-18 20:58:56,68.75,161.3,2.01,87,42,scattered clouds,0,0,6.58
137,Severo-Kurilsk,RU,2020-04-18 20:57:25,50.68,156.12,34.39,88,9,clear sky,0,0,10.07
138,Gazanjyk,TM,2020-04-18 21:02:24,39.24,55.52,70.09,37,0,clear sky,0,0,8.21
139,New Norfolk,AU,2020-04-18 20:57:58,-42.78,147.06,42.01,87,60,broken clouds,0,0,2.44
140,Honiara,SB,2020-04-18 20:56:18,-9.43,159.95,73.4,100,40,scattered clouds,0,0,3.36
141,Umm Lajj,SA,2020-04-18 20:57:30,25.02,37.27,73.78,49,100,overcast clouds,0,0,4.81
142,San Quintin,MX,2020-04-18 20:58:05,30.48,-115.95,64.15,57,0,clear sky,0,0,17.96
143,Cayenne,GF,2020-04-18 20:57:18,4.93,-52.33,84.2,74,20,few clouds,0,0,8.05
144,Beni Mazar,EG,2020-04-18 21:02:25,28.5,30.8,70.61,45,0,clear sky,0,0,17.6
145,Yangambi,CD,2020-04-18 21:02:25,0.81,24.43,71.8,86,67,moderate rain,{'3h': 6.28},0,5.08
146,Atar,MR,2020-04-18 20:57:28,20.52,-13.05,74.98,19,0,clear sky,0,0,8.32
147,Gat,IL,2020-04-18 21:02:26,31.61,34.76,66.99,17,0,clear sky,0,0,7.49
148,Yar-Sale,RU,2020-04-18 21:02:26,66.83,70.83,34.52,98,99,overcast clouds,0,0,9.15
149,Mandera,KE,2020-04-18 21:02:26,3.94,41.87,84.99,14,98,overcast clouds,0,0,1.01
150,Fayaoue,NC,2020-04-18 21:02:26,-20.65,166.53,77.9,79,81,broken clouds,0,0,13.56
151,Serik,TR,2020-04-18 21:00:42,36.92,31.1,59.0,82,0,clear sky,0,0,4.7
152,Nabire,ID,2020-04-18 20:55:07,-3.37,135.48,76.96,87,100,moderate rain,{'3h': 3.09},0,3.98
153,Leshukonskoye,RU,2020-04-18 21:02:27,64.9,45.76,30.06,98,81,broken clouds,0,0,2.77
154,Klaksvik,FO,2020-04-18 20:58:12,62.23,-6.59,42.8,81,0,clear sky,0,0,11.41
155,Tuatapere,NZ,2020-04-18 20:58:57,-46.13,167.68,45.0,90,54,broken clouds,0,0,8.01
156,Lorengau,PG,2020-04-18 21:02:28,-2.02,147.27,82.47,74,3,clear sky,0,0,3.04
157,Port Lincoln,AU,2020-04-18 20:58:05,-34.73,135.87,58.19,75,33,scattered clouds,0,0,8.25
158,Laukaa,RU,2020-04-18 21:02:28,58.74,29.85,35.2,90,100,light snow,0,{'3h': 0.3},8.34
159,Hay River,CA,2020-04-18 20:58:57,60.82,-115.8,37.4,59,75,broken clouds,0,0,4.7
160,Torbay,CA,2020-04-18 20:58:30,47.67,-52.73,39.0,47,75,broken clouds,0,0,17.22
161,Saint-Francois,FR,2020-04-18 20:58:55,46.42,3.91,60.01,72,84,broken clouds,0,0,2.66
162,Hofn,IS,2020-04-18 20:59:03,64.25,-15.21,45.36,87,100,light rain,{'3h': 0.68},0,17.56
163,Kapaa,US,2020-04-18 21:02:30,22.08,-159.32,78.8,61,1,clear sky,0,0,12.75
164,Dalby,AU,2020-04-18 21:02:30,-27.18,151.27,55.99,100,75,broken clouds,0,0,3.36
