City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Port Alfred,ZA,2020-04-16 03:19:50,-33.59,26.89,61.0,85,80,4.0
99,Auki,SB,2020-04-16 03:19:51,-8.77,160.7,85.51,66,100,3.09
100,Tuktoyaktuk,CA,2020-04-16 03:19:51,69.45,-133.04,28.4,92,90,5.39
101,Lipari,IT,2020-04-16 03:19:52,38.47,14.95,57.99,87,75,3.36
102,Punta Arenas,CL,2020-04-16 03:19:52,-53.15,-70.92,50.0,71,75,6.93
103,Risor,NO,2020-04-16 03:17:49,58.72,9.23,45.0,43,5,1.01
104,Byron Bay,AU,2020-04-16 03:19:45,-28.65,153.62,84.2,51,0,11.41
105,Stykkisholmur,IS,2020-04-16 03:19:53,65.08,-22.73,33.33,90,76,6.29
106,Komatipoort,ZA,2020-04-16 03:19:53,-25.43,31.95,68.0,94,71,1.12
107,Carnarvon,AU,2020-04-16 03:19:53,-24.87,113.63,91.4,19,57,13.87
108,Parakou,BJ,2020-04-16 03:19:53,9.34,2.63,80.22,65,0,7.76
109,Sidi Ali,DZ,2020-04-16 03:15:51,36.1,0.42,57.07,84,99,7.27
110,Khon Buri,TH,2020-04-16 03:19:54,14.53,102.25,93.0,62,20,6.93
111,Thompson,CA,2020-04-16 03:19:54,55.74,-97.86,17.6,57,5,8.05
112,Birjand,IR,2020-04-16 03:15:56,32.87,59.22,51.8,76,75,6.93
113,Tateyama,JP,2020-04-16 03:19:55,34.98,139.87,64.99,63,20,14.99
114,Saint-Joseph,RE,2020-04-16 03:19:55,-21.37,55.62,75.2,60,2,10.29
115,Balclutha,NZ,2020-04-16 03:19:55,-46.23,169.75,55.0,53,47,13.0
116,Lebu,CL,2020-04-16 03:19:56,-37.62,-73.65,54.88,82,84,7.83
117,Hithadhoo,MV,2020-04-16 03:19:56,-0.6,73.08,84.43,71,69,6.76
118,Koundara,GN,2020-04-16 03:19:56,12.48,-13.3,83.88,44,2,3.18
119,Sujiatun,CN,2020-04-16 03:19:56,41.66,123.34,68.0,20,100,13.42
120,Saint-Augustin,CA,2020-04-16 03:19:57,51.23,-58.65,26.96,92,0,7.0
121,Niquelandia,BR,2020-04-16 03:19:57,-14.47,-48.46,69.49,78,100,2.28
