City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
508,Muros,ES,60.01,scattered clouds,42.78,-9.06,Apartment Av. Castelao
510,West Wendover,US,60.8,overcast clouds,40.74,-114.07,Rainbow Casino & Hotel
511,Ambilobe,MG,73.22,broken clouds,-13.2,49.05,Hotel National
512,Neiafu,TO,80.6,scattered clouds,-18.65,-173.98,Jia Heng Hotel佳恒假日酒店
513,Banes,CU,95.0,scattered clouds,20.96,-75.72,Hostal Iván y yailet
514,Gijon,ES,60.01,few clouds,43.54,-5.66,Hotel San Miguel Gijón
516,Kavaratti,IN,85.48,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
517,Chimbarongo,CL,78.8,clear sky,-34.7,-71.05,
519,Porto Santo,PT,64.4,few clouds,33.07,-16.34,Lago do Castelo
520,Diu,IN,82.53,scattered clouds,20.71,70.98,Hotel Ankur
521,Pyinmana,MM,75.0,clear sky,19.73,96.22,
524,Korla,CN,61.0,overcast clouds,41.76,86.15,Gulisitan Hotel
528,Winder,US,54.0,overcast clouds,33.99,-83.72,Jameson Inn Winder
530,Linhares,BR,71.11,few clouds,-19.39,-40.07,Hotel Conceição
531,Soyo,AO,80.47,broken clouds,-6.13,12.37,Hotel Nempanzu
532,Namatanai,PG,82.09,broken clouds,-3.67,152.43,
533,Kathu,TH,80.6,few clouds,7.92,98.33,Serenity Golf Hotel
534,Port Hedland,AU,75.2,broken clouds,-20.32,118.57,The Esplanade Hotel
535,Old Town,US,57.99,clear sky,44.93,-68.65,
538,Alice Springs,AU,80.6,clear sky,-23.7,133.88,Elkira Court Motel
539,Presidencia Roque Saenz Pena,AR,79.38,clear sky,-26.79,-60.44,Hotel Aconcagua
542,Port Lincoln,AU,61.21,overcast clouds,-34.73,135.87,Port Lincoln YHA
544,Rawson,AR,65.62,overcast clouds,-43.3,-65.1,Hosteria Sampedro
546,Fremont,US,66.0,broken clouds,37.55,-121.99,All Suites Islander Motels
547,Dengfeng,CN,64.0,overcast clouds,34.46,113.03,Traveler Youth Hostel
550,Lumberton,US,70.0,broken clouds,34.62,-79.01,Lumberton
551,Jiangyou,CN,61.32,overcast clouds,31.77,104.72,Lavande Hotel
554,Chabahar,IR,80.1,clear sky,25.29,60.64,هتل گدروشیا
555,Margate,GB,50.0,clear sky,51.38,1.39,The Reading Rooms
556,Nichinan,JP,61.11,scattered clouds,31.6,131.37,Business Hotel Rich
559,Martapura,ID,77.0,overcast clouds,-3.42,114.85,Kost Putri Hasanah/Distributor HWI Martapura
562,Harper,LR,82.0,overcast clouds,4.38,-7.72,
564,Bangkalan,ID,77.11,overcast clouds,-7.05,112.74,Perum Gor Saka - Bkln
566,Douala,CM,86.0,scattered clouds,4.05,9.7,Hotel Akwa Palace
567,Samarai,PG,80.82,broken clouds,-10.62,150.67,
568,Aksay,RU,54.0,overcast clouds,47.26,39.87,Гостевой дом на улице Железнодорожная 73
569,Bouza,NE,85.82,clear sky,14.42,6.04,
571,Cascais,PT,60.01,overcast clouds,38.7,-9.42,Hotel Albatroz Cascais
572,Praia,CV,75.2,scattered clouds,14.92,-23.51,Praia Confort
574,Ciudad Bolivar,VE,94.84,overcast clouds,8.12,-63.55,IKERU
575,Bulolo,PG,71.24,broken clouds,-7.2,146.65,
577,Broken Hill,AU,69.8,overcast clouds,-31.95,141.43,
579,Glendive,US,52.0,few clouds,47.11,-104.71,El Centro Motel
582,Peniche,PT,59.0,overcast clouds,39.36,-9.38,Katekero II
584,Eureka,US,59.0,clear sky,40.8,-124.16,Eureka Inn
585,Westport,US,60.01,clear sky,41.14,-73.36,Westport
586,Aksu,CN,53.1,overcast clouds,41.12,80.26,
587,Eha Amufu,NG,84.2,scattered clouds,6.66,7.76,
589,Imbituba,BR,75.2,few clouds,-28.24,-48.67,Praia Hotel Imbituba
590,Kalmunai,LK,81.82,broken clouds,7.42,81.82,VS Villa
592,Iquique,CL,71.6,few clouds,-20.22,-70.14,Hotel Barros Arana
595,Manoel Urbano,BR,87.78,few clouds,-8.84,-69.26,Baixada Beira Rio
598,Cervo,ES,54.0,scattered clouds,43.67,-7.41,Pazo O'Almacén
599,Hastings,GB,51.01,few clouds,50.86,0.57,Chatsworth Hotel
600,Berovo,MK,52.74,overcast clouds,41.7,22.86,Hotel Manastir Berovo
602,Ibipeba,BR,72.72,overcast clouds,-11.64,-42.01,
603,Maua,BR,71.6,scattered clouds,-23.67,-46.46,Hotel Capriccio Mauá
605,Nouakchott,MR,69.8,sand,18.09,-15.98,Une cozy villa à Nouakchott
606,Gaspar,BR,77.0,few clouds,-26.93,-48.96,Believe Tur Viagens
608,Sur,OM,84.36,clear sky,22.57,59.53,Sur Hotel
609,Richards Bay,ZA,69.37,clear sky,-28.78,32.04,edurado condtruction
611,Nabire,ID,75.92,clear sky,-3.37,135.48,Hotel Grand Papua Nabire
612,Grants Pass,US,63.0,clear sky,42.44,-123.33,Knights Inn
614,Iglesias,IT,64.99,broken clouds,39.31,8.54,"B&B Mare Monti Miniere - Sardinia sud-ovest, trekkink climbing Masua"
